Rank,Tr
x+,24059.03567080081
x,22855.926804042974
u,20441.142480632127
ss,18214.91550935525
s+,16546.206771263507
s,15108.027789659109
s-,13645.595516182819
a+,11835.161550517658
a,10193.351642538022
a-,8532.71929289305
b+,6826.820015744229
b,5248.8897573734785
b-,3812.4783182683805
c+,2806.3668382477326
c,1869.227951388276
c-,957.0978807244411
d+,399.49028111342545
d,7.130095988050305
